typeSpecimen	typeSpecimenLabel	gbifid
https://tre-test.wikibase.cloud/entity/Q52603	685edad7-23e3-471b-8859-2e6388c3c1e3	2828881881
https://tre-test.wikibase.cloud/entity/Q52604	0e9c664d-c0b3-4322-ac67-a8691d68a919	2853642495
https://tre-test.wikibase.cloud/entity/Q52605	78eee84a-b41f-41fa-a458-ca1d66770ab1	2829194053
https://tre-test.wikibase.cloud/entity/Q52606	3eef41f6-92cb-49e1-852b-d9077fd0a8e9	2853709275
https://tre-test.wikibase.cloud/entity/Q52607	9135f954-1be2-4a34-83e2-9eba7c81847f	2827326526
https://tre-test.wikibase.cloud/entity/Q52608	e8b73358-7eab-4f27-a653-e142b524c3c4	2437484154
https://tre-test.wikibase.cloud/entity/Q52589	2cf8e9cd-f518-45ca-a3c4-1a02a17b1cee	2829381602
https://tre-test.wikibase.cloud/entity/Q52590	b630b3e6-187b-41c3-b9da-d351337e30d5	2853924913
https://tre-test.wikibase.cloud/entity/Q52591	3f21aba4-72b0-45a3-b200-b7ca785a1546	2829280150
https://tre-test.wikibase.cloud/entity/Q52592	60f0ee02-26ea-4a04-b11f-f8d2b9f6b493	2436136718
https://tre-test.wikibase.cloud/entity/Q52593	http://specimens.kew.org/herbarium/K001097310	1054237206
https://tre-test.wikibase.cloud/entity/Q52594	b8e4f90f-2422-433f-b07c-4d05fbc35b41	2829642292
https://tre-test.wikibase.cloud/entity/Q52595	fcbb38ea-2231-44d6-a8db-c6f3ad610849	2854005876
https://tre-test.wikibase.cloud/entity/Q52596	f1d782cb-478a-44d7-b193-bab659a5c62d	2430729739
https://tre-test.wikibase.cloud/entity/Q52597	http://n2t.net/ark:/65665/38db48008-fb48-45ff-83b0-99a1a5cbf28d	1320405904
https://tre-test.wikibase.cloud/entity/Q52598	e16972a4-af7e-4718-8d18-12805ea89192	2438880677
https://tre-test.wikibase.cloud/entity/Q52609	c23ff821-8ade-4619-afdf-52e74d4789ae	2853942444
https://tre-test.wikibase.cloud/entity/Q52610	6cf09815-dca3-416f-b815-529a24fb032b	2854213260
https://tre-test.wikibase.cloud/entity/Q52611	9c56c3c1-f464-4c40-9e4c-a50ac526bb65	2853880470
https://tre-test.wikibase.cloud/entity/Q52612	dd464de4-033b-4468-ba8e-89a7ba9265b7	2439287513
https://tre-test.wikibase.cloud/entity/Q52613	98c6d5d7-841b-4406-b9cd-ebd014315d82	2853854245
https://tre-test.wikibase.cloud/entity/Q52614	94d9a18d-5959-4b37-8eba-ce732ebb8778	2854222712
https://tre-test.wikibase.cloud/entity/Q52615	06a50370-7cdc-45ba-8014-4efea0d3fbe2	2853636341
https://tre-test.wikibase.cloud/entity/Q52616	9a321ee9-5565-4247-9eab-22cde374fbeb	2827782837
https://tre-test.wikibase.cloud/entity/Q52617	a9dc726e-2628-43ad-be39-10f61a98cdd3	2828722992
https://tre-test.wikibase.cloud/entity/Q52618	9f9ccc59-ba08-48c8-b711-c9261e79a2ce	2854242435
https://tre-test.wikibase.cloud/entity/Q52619	gbif:1144776873	1144776873
https://tre-test.wikibase.cloud/entity/Q52620	d994ea4b-4e10-4f43-b401-cb9257f5bdfd	2853987481
https://tre-test.wikibase.cloud/entity/Q52621	12b742fb-2005-4627-b992-00f062508613	2434888506
https://tre-test.wikibase.cloud/entity/Q52622	8a67fa64-a055-4998-857c-6780867634af	2830103046
https://tre-test.wikibase.cloud/entity/Q52623	a8249113-cf10-46ba-aa78-136e11ca7a2c	2827851601
https://tre-test.wikibase.cloud/entity/Q52624	f51b6ae1-45dd-4b3d-b8e3-40dabb0bb590	2854429460
https://tre-test.wikibase.cloud/entity/Q52625	c494e8fa-8820-4726-b627-9e8b453dfaab	2437151882
https://tre-test.wikibase.cloud/entity/Q52626	a86391a1-4dd1-4d49-9947-00821921395e	2436517759
https://tre-test.wikibase.cloud/entity/Q52627	9515ad4e-4adf-46b8-a9fb-d001c872ad4a	2438430102
https://tre-test.wikibase.cloud/entity/Q52628	e83b4431-38ce-4b9f-84b7-8144a03152e7	2829095655
https://tre-test.wikibase.cloud/entity/Q52629	http://specimens.kew.org/herbarium/K001097312	1054237156
https://tre-test.wikibase.cloud/entity/Q52630	d1ae4722-d4a1-4dc4-9afa-5ed89b74e9fa	2853964882
https://tre-test.wikibase.cloud/entity/Q52631	efcf858d-c047-4c8a-a412-0e2cff1cb55d	2827611114
https://tre-test.wikibase.cloud/entity/Q52632	fb07d7a6-7ccd-4af2-8b0e-26b600ec6b01	2854438585
https://tre-test.wikibase.cloud/entity/Q52633	1f021f32-4a95-45dd-91c1-986237e2c471	2854075220
https://tre-test.wikibase.cloud/entity/Q52634	dbf280d3-8b55-46e0-90f7-9d0ca6fcb76a	2854425953
https://tre-test.wikibase.cloud/entity/Q52635	1a5c6397-9bd3-4126-9a44-5288bc2e34bf	2828325482
https://tre-test.wikibase.cloud/entity/Q52636	36f9cb10-9892-40d3-a9eb-8086fe4c30a6	2830541529
https://tre-test.wikibase.cloud/entity/Q52637	http://specimens.kew.org/herbarium/K000607809	1291646944
https://tre-test.wikibase.cloud/entity/Q52638	129fd960-db2d-411c-a3e7-3c74a12b812c	2434886244
https://tre-test.wikibase.cloud/entity/Q52639	318e6c9b-d644-4855-8af0-19946466553e	2435481393
https://tre-test.wikibase.cloud/entity/Q52640	http://specimens.kew.org/herbarium/K000608037	1421196374
https://tre-test.wikibase.cloud/entity/Q52641	8dcc8b04-919d-4eea-b06a-c711ab885be9	2854271702
https://tre-test.wikibase.cloud/entity/Q52642	urn:catalog:MO:Tropicos:1397898	1258621789
https://tre-test.wikibase.cloud/entity/Q52643	http://coldb.mnhn.fr/catalognumber/mnhn/p/p00679353	474602772
https://tre-test.wikibase.cloud/entity/Q52644	3315493	2997641782
https://tre-test.wikibase.cloud/entity/Q52645	https://specieslink.net/guid/259/132910	1095317396
https://tre-test.wikibase.cloud/entity/Q52646	76bca62f-1cb9-48e2-bed1-c3df5c040705	2853806883
https://tre-test.wikibase.cloud/entity/Q52647	40e1c1fb-cea0-44df-a76c-ec7ac2f24556	2853737586
https://tre-test.wikibase.cloud/entity/Q52648	b4d6dda7-6ff8-4b69-b2fd-09f86ef4a9ac	2438629171
https://tre-test.wikibase.cloud/entity/Q52649	7cefb37c-bd2b-48b0-888a-41e7e93d60d0	1929533022
https://tre-test.wikibase.cloud/entity/Q52650	UPS:BOT:V-215787	351683725
https://tre-test.wikibase.cloud/entity/Q52651	9eaf9511-b559-40e9-9d77-7ffbe19f7764	2853882287
https://tre-test.wikibase.cloud/entity/Q52652	4195b1fd-40d8-4d22-85a7-06e12543452a	2853731725
https://tre-test.wikibase.cloud/entity/Q52653	8ce76300-3c86-496d-9d27-7b43bb3041eb	2854210448
https://tre-test.wikibase.cloud/entity/Q52654	9ed95aa8-edb5-4a37-99f2-2d7236b5c49c	2438576997
https://tre-test.wikibase.cloud/entity/Q52655	1c4c1127-2fa5-472e-a660-28c9ce815d7f	2853661800
https://tre-test.wikibase.cloud/entity/Q52656	f5592b7b-2585-473f-b1b5-3a2137b9d869	2829180531
https://tre-test.wikibase.cloud/entity/Q52657	1ffc54eb-732e-4a7e-98dc-7279420f7ac7	2853681345
https://tre-test.wikibase.cloud/entity/Q52658	http://specimens.kew.org/herbarium/K000608019	1421196380
https://tre-test.wikibase.cloud/entity/Q52659	af0e50b6-5573-48ea-80b7-7244b22b2848	2853914805
https://tre-test.wikibase.cloud/entity/Q52660	5663229a-0cc2-4553-be4f-c93358210312	2829423345
https://tre-test.wikibase.cloud/entity/Q52661	461fe2d5-d2b4-4c92-acf1-414b56bba22e	2435635070
https://tre-test.wikibase.cloud/entity/Q52662	9fe98c86-b79d-4ef6-8d97-88bf180c2795	2829337322
https://tre-test.wikibase.cloud/entity/Q52663	13aba6aa-b6cb-4ee6-91ef-9a39a5942347	2846739303
https://tre-test.wikibase.cloud/entity/Q52664	1d87c124-fe9f-4c11-8f4b-f74619a9cec3	2853662005
