typification	typificationLabel
Q185718	316ec6d4-6f5b-415d-875f-36711c32901c: isotype of Schefflera botumirimensis Fiaschi & Pirani
Q185719	316f3f6d-ab78-4eea-83eb-930654a4f7dc: isotype of Dahlia campanulata Saar, P.D.Sørensen & Hjert.
Q185720	317075a8-7a51-4601-bee8-693d90de2bd3: isotype of Guatteria japurensis Maas & Westra
Q185721	3173623E-E578-4E51-BD4A-3DCD202F273A: isotype of Lepidium rekohuense de Lange & Heenan
Q185722	31752b27-f6b1-4a77-a4ab-495b1e0f0997: isotype of Zieria formosa J.D.Briggs & J.A.Armstr.
Q185723	31802270-1D53-495E-A523-EECE1D7867B0: isotype of Tolumnia borinquinensis Sauleda & Ragan
Q185724	31834940-a51f-4fc4-871a-77149a5efb99: holotype of Thelymitra yorkensis Jeanes
Q185725	31874b77-dd31-43f7-849c-833e2ebf6025: holotype of Bunchosia articulata Dobson
Q185726	3188324c-98bf-4eef-9809-b5341e6840d6: holotype of Rhynchospora harperi Small
Q185727	318cd44d-1555-462f-8c6f-2428df01c7d8: isotype of Joosia multiflora L.Andersson
Q185728	318dcff4-4785-4333-878f-3e7878fac8df: isotype of Mentzelia pumila var. humilis Urb. & Gilg
Q185729	318e7f96-f57e-42ae-b2dc-cf2d0e7f36e2: isotype of Physeterostemon aonae Amorim, Michelang. & R.Goldenb.
Q185730	319171b9-c3da-4906-a0e6-0759ca1be8a8: isotype of Melaleuca exuvia Craven & Lepschi
Q185731	3191725: isotype of Turnera laciniata Arbo
Q185732	31918ff5-6d8c-4a0b-8897-f2a26e57ae24: isotype of Eugenia molinae Barrie
Q185733	3195ab25-5514-43fd-9c4a-b1344fda7428: holotype of Oligochaetochilus frenchii D.L.Jones
Q185734	3196d41a-91fe-4c89-92ec-8c8f3592786c: isotype of Rhodomyrtus verecunda A.J.Ford & Peter G.Wilson
Q185735	31983cdb-86f6-4f46-8a1d-2be7945c5400: holotype of Remijia densiflora f. glabricalyx Steyerm.
Q185736	31D6B357-1E32-4B12-BC3A-A9F659D93A9F: holotype of Sphaeralcea leptophylla var. janeae S.L.Welsh
Q185737	31a11254-e050-45a1-a5ac-c35b5df8c26f: isotype of Cassinia venusta Orchard
Q185738	31a7da0d-df85-431f-9051-2535c0d903be: isolectotype of Coccothrinax acuminata Sarg. ex Becc.
Q185739	31b009ba0fe310aa839f2d547728b9f6: isotype of Senecio pinacatensis Felger
Q185740	31b0f6c5-1692-4dc6-a7d2-38db39d679f2: isotype of Coreopsis grandiflora var. inclinata J.R.Allison
Q185741	31b17e5a95197f6168dc3fe3e19e195e: holotype of Stevia coahuilensis Soejima & Yahara
Q185742	31b49954-7116-4016-a3ea-9ef1e03fbbd2: holotype of Thelymitra cyanapicata Jeanes
Q185743	31b75937-0710-45d3-bfde-8da8a2f4b2c6: isotype of Lipochaeta heterophylla var. malvacea O.Deg. & Sherff
Q185744	31b75d81-3ae8-4e1f-821b-f1491775bc2a: holotype of Camellia harlandii Orel & Curry
Q185745	31b7cc5408304bf85f5fce03a9860d5f: holotype of Capparis mayana Lundell
Q185746	25db1b01-13d7-4a72-bcf5-a5edf0b51507: isotype of Leionema westonii L.M.Copel. & I.Telford
Q185747	25e06db7-1e86-4d62-bbe2-d5cc5c33de04: isotype of Rauvolfia pruinosifolia I.Koch & Kin.-Gouv.
Q185748	25e22a93-0d0b-4487-86a9-a249dbe476e7: isotype of Paepalanthus echinoides Trovó
Q185749	25e26623-2b04-45c4-9819-8f280e44cb51: isotype of Syagrus guimaraesensis Noblick & Lorenzi
Q185750	25e6164e-6425-43c1-9fb8-fca351fd5edc: holotype of Hemigenia virescens G.R.Guerin
Q185751	25e69d0e-6461-49bd-b538-a70548714027: isotype of Caladenia longicauda subsp. albella Hopper & A.P.Br.
Q185752	25ef2feb-c26e-413c-8f61-f9df741a6b2f: isotype of Eriogonum umbellatum var. nelsoniorum Reveal
Q185753	25f08d00-a268-445d-9eac-eca448fe017a: holotype of Polystichum rhizophyllum var. cubense Mickel
Q185754	25f136a0-8e66-425a-a869-1b4f0d989a16: isotype of Stylidium araeophyllum Wege
Q185755	25f4eb2e-4700-4c13-a36e-91059cd2fb10: neotype of Hedyotis rosea Raf.
Q185756	25f97b81-3c22-4e1b-966c-d7b114b3a61d: isotype of Syzygium pseudomegistophyllum W.N.Takeuchi
Q185757	260036c1-d6ea-4f17-9019-c906e1abdff8: holotype of Ternstroemia glandulosa Alain
Q185758	2600e937-1134-41f9-bf1c-60fa95f26390: isotype of Eremophila pendulina Chinnock
Q185759	26020522-8e66-48d1-afda-3a1e3a9dc39f: holotype of Lantana hirsuta subsp. amazonica R.W.Sanders
Q185770	263b95d9-005c-4e71-9bd6-c1bc68fad7dd: holotype of Clidemia clementiana Britton
Q185771	264459: isotype of Schoenus inconspicuus T.L.Elliott, Euston-Brown & Muasya
Q185772	264472: isotype of Schoenus submarginalis T.L.Elliott & Muasya
Q185773	264473: isotype of Schoenus comparoides T.L.Elliott & Muasya
Q185774	264476: isotype of Schoenus megacarpus T.L.Elliott & Muasya
Q185775	264478: isotype of Schoenus brunnescens T.L.Elliott & Muasya
Q185776	264483: isotype of Schoenus triticoides T.L.Elliott & Muasya
Q185777	264500: isotype of Schoenus crassiculmis T.L.Elliott & Muasya
Q185778	264548: isotype of Schoenus prophyllus T.L.Elliott & Muasya
Q185779	264666: isotype of Schoenus bracteosus T.L.Elliott & Muasya
Q185760	26054b36-ae88-4e27-8024-9304d8f3c607: holotype of Habenaria psycodes f. albiflora Ralph Hoffm.
Q185761	260fe29c-6929-42de-90ea-0c91832bc3c2: holotype of Erigeron strigosus var. dolomiticola J.R.Allison
Q185762	261626a2-cf0c-41be-a5ba-5137e976b14c: holotype of Selinum pacificum S.Watson
Q185763	261b295b-4c3a-4fc9-a4bd-c7cb1902d6c7: holotype of Rinzia torquata Rye & Trudgen
Q185764	261e565b-36d9-4e05-918f-713330f523f0: holotype of Elleanthus blatteus Garay
Q185765	26288543-6429-4e43-b909-b82cd577d3f3: isotype of Goodenia maretensis R.L.Barrett
Q185766	262bd0d3-d3f6-45fb-8533-093317072c97: holotype of Melaleuca zeteticorum Craven & Lepschi
Q185767	2632d52d-6177-4a4c-b471-3f93a177a61c: isotype of Eriogonum douglasii var. meridionale Reveal
Q185768	2634EF16-0981-4395-945E-13ED1DD74733: holotype of Senecio cliffordii N.D.Atwood & S.L.Welsh
Q185769	26371861-4c21-4f46-bd86-398279efa167: holotype of Scutellaria bartlettii B.L.Turner
Q185780	264687: isotype of Schoenus purpurascens T.L.Elliott & Muasya
Q185781	2640834: holotype of Minasia ramosa Loeuille, H.Rob. & Semir
Q185782	264197: isotype of Sumatroscirpus rupestris Lév.-Bourret & J.R.Starr
Q185783	264221: isotype of Schoenus australis T.L.Elliott & Muasya
Q185784	264228: isotype of Schoenus graciliculmis T.L.Elliott & Muasya
Q185785	264270: isotype of Schoenus aureus T.L.Elliott & Muasya
Q185786	2642e6ee-fc44-4139-916d-308eb054cd3a: isotype of Kamettia chandeei D.J.Middleton
Q185787	264318: isotype of Schoenus albovaginatus T.L.Elliott & Muasya
Q185788	264329: isotype of Schoenus crinitus T.L.Elliott & Muasya
Q185789	264340: isotype of Schoenus calceolus T.L.Elliott & Muasya
Q185800	26620496-165f-4bd9-92e0-ad697a790ed4: isotype of Polygala rhynchocarpa R.A.Kerrigan
Q185790	264346: isotype of Schoenus quartziticus T.L.Elliott & Muasya
Q185791	2646a63d-8c03-4b79-b285-658141d59a71: isotype of Eugenia sancarlosensis Barrie
Q185792	264702: isotype of Schoenus filiculmis T.L.Elliott & Muasya
Q185793	264B8DFD-52F4-43C2-9E99-34CEE2EE50FE: holotype of Rhus kearneyi subsp. borjaensis Moran
Q185794	264a40e0-0d50-4a45-a93a-f460dda5a79b: holotype of Diplazium ambiguum var. dissectum Stolze
Q185795	264f27f0-dbbb-40c7-a52e-fb7681681306: holotype of Caladenia pachychila Hopper & A.P.Br.
Q185796	264f5410-2623-43cf-92b7-015b2488dbfd: isotype of Dryadodaphne trachyphloia Schodde
Q185797	265158: isotype of Schoenus selinae T.L.Elliott, Muthaphuli & Muasya
Q185798	2655c969-8b13-43c2-9967-577d3059c4ac: lectotype of Pleurothallis trachychlamys Schltr.
Q185799	2658d145-9321-47bc-a698-137de075accb: isolectotype of Ribes wolfii Rothr.
Q185801	26631caf-c1b9-43ad-80b7-48e70646455d: isotype of Phacelia cottamii N.D.Atwood
Q185802	2665815b-1ac8-4440-aee6-609e378779b2: holotype of Caladenia turneri Kosky
Q185803	2666973b-e886-4366-b769-ddfbfe349b59: isotype of Peperomia pseudophyllantha Samain
Q185804	26694a2f-8184-4859-80aa-a2658694f1cc: isotype of Pavonia missionum Ekman
Q185805	266abfa9f602dfbd4470b6e59860e98c: isotype of Viguiera grammatoglossa var. huajuapana Panero & Villaseñor
Q185806	266d8150-2be1-42e6-818e-305fabd0dc6c: holotype of Lappula pustulata J.F.Macbr.
Q185807	266d88b9-a945-45f8-a3de-c38cd8deb8ff: lectotype of Socratea microchlamys Burret
Q185808	266da3bb-dfa5-4152-8d04-d0d3b1358a38: isotype of Eriogonum artificis Reveal
Q185809	266e959d-e761-4964-ab73-218623080c34: holotype of Psychotria izabalensis L.O.Williams
Q185810	266f6585-fb2f-468a-8454-15cc13373513: holotype of Elaphoglossum cardioglossum Mickel
Q185811	267195d7-f355-4f6e-a906-4728dedde32b: holotype of Gastrolobium acrocaroli G.Chandler & Crisp
Q185812	2672cc7f8e64440bac1c48f797a710bd: holotype of Melampodium mayfieldii B.L.Turner
Q185813	26755572-5A39-40EA-B2CB-AA19433752E9: isotype of Euphorbia inundata var. garrettii E.L.Bridges & Orzell
Q185814	2678ae53-15f8-4c50-a719-2ebc8ada460c: isotype of Eucalyptus baiophylla D.Nicolle & Brooker
Q185815	2679997: holotype of Vriesea baturitensis Versieux & Tomaz
Q185816	267ec6c6-8a76-4648-b313-3fe83ee73a72: holotype of Mezia huberi W.R.Anderson
Q185817	2682390: holotype of Plantago hatschbachiana Hassemer
Q185818	2682394: holotype of Gaylussacia caratuvensis R.R.Silva & Cervi
Q185819	2682985: holotype of Machaerina austrobrasiliensis M.T.Strong
Q185820	2683115: isotype of Cuphea iguazuensis Lourteig
Q185821	2687eb92-616a-42f8-a306-0d1450e4b19b: holotype of Fraxinus pennsylvanica var. austinii Fernald
Q185822	268844a7-14cc-4b21-b660-132120b62671: isotype of Diocirea microphylla Chinnock
Q185823	2688a603-7c10-4c33-a6f7-726ee303a918: isotype of Silphium glutinosum J.R.Allison
Q185824	268921ef-cad9-4db8-8ff7-01118f344847: holotype of Micropholis suborbicularis Aubrév.
Q185825	2689B3E0-761F-4590-8818-9BF28F2093B9: holotype of Penstemon grahamii D.D.Keck
Q185826	268c246c-2a8e-4b0b-8249-99c02705d30d: holotype of Eremophila flaccida subsp. attenuata Chinnock
Q185827	268d6595-23c3-4d59-83ff-bc95db4c6c41: isotype of Margarocarpus poeppigianus Wedd.
Q185828	26940463-196b-4f42-99ad-665a83ce4f4d: isotype of Condaminea elegans Delprete
Q185829	26998351-11b5-4972-8995-ef9bb6364d14: isotype of Poa ramifera Soreng & P.M.Peterson
Q185830	269a2eac-9418-49cd-8119-54d0afb83662: holotype of Pinalia kitangladensis Ormerod & Naive
Q185831	26b48005-93af-4a1e-9895-7be2a140dc09: holotype of Carum depressum Hartvig & Kit Tan
Q185832	26be2c1e-f7b8-429c-bda0-038d49ae891d: isotype of Eugenia locuples Barrie
Q185833	26c5d9b9-d044-44ab-9df4-6a120895254b: isotype of Gilia splendens Douglas ex H.Mason & A.D.Grant
Q185834	26cfb884-7606-401b-b62e-d429dcef56fb: holotype of Canarium betamponae Daly, Raharim. & Federman
Q185835	26d05c24069e1e8b787a3493f37f12c8: holotype of Peteniodendron rufotomentosum Lundell
Q185836	26d13d4a-0177-4d88-ac6d-11486f05dedf: isotype of Elaphoglossum manantlanense Mickel
Q185837	26d34214a4973eec227c235e772731f9: holotype of Dioon argenteum T.J.Greg., Chemnick, Salas-Mor. & Vovides
Q185838	26d4b774-f808-4a8a-8d64-1721019b9113: isotype of Habenaria ludibundiciliata J.A.N.Bat. & Bianch.
Q185839	26d976cd-382e-45c8-9784-5a1e9297c218: isotype of Spermacoce lamprosperma Harwood
Q185840	26da54aa-de04-4a2b-8943-8e92a774ac40: isotype of Sisyrinchium hitchcockii Douglass M.Hend.
Q185841	269bcc22-a677-4731-86ae-b021991cae40: isotype of Solanum silvestre A.R.Bean
Q185842	269c4709-19fa-494f-958c-a4742eab127d: holotype of Nymphaea lukei S.W.L.Jacobs & Hellq.
Q185843	26BA3754-ECE9-46D1-8343-1CDF116FBA70: holotype of Pilosella iberoatlantica Mateo & Egido
Q185844	26C2DB5B-99A5-4339-B040-A853BFB1381A: holotype of Navarretia fossalis Moran
Q185845	2910323: holotype of Mimosa pusilliceps Barneby
Q185846	2910324: holotype of Leptolobium araguaiense Sch.Rodr. & A.M.G.Azevedo
Q185847	2910327: holotype of Cissus paraensis Lombardi
Q185848	2910167: isotype of Siparuna depressa Jangoux
Q185849	2910197: holotype of Diclinanona matogrossensis Maas
Q185850	2910210: holotype of Hirtella radamii Prance
Q185851	2910212: holotype of Licania tocantina Prance
Q185852	2910236: holotype of Croton grazielae Secco
Q185853	2910240: isotype of Mimosa piresii Barneby
Q185854	2910247: holotype of Mouriri pranceana Morley
Q185855	2910248: holotype of Siparuna savanicola Jangoux
Q185856	2910251: holotype of Licania anneae Prance
Q185857	2910256: holotype of Hevea camargoana Pires
Q185858	2910343: holotype of Erythroxylum nelson-rosae Plowman
Q185859	2910351: holotype of Heteropterys dichromocalyx W.R.Anderson
Q185860	2910352: holotype of Bunchosia decussiflora W.R.Anderson
Q185861	2910353: holotype of Mezia rufa W.R.Anderson
Q185862	2910363: holotype of Siparuna duckeana Jangoux
Q185863	2910391: isotype of Croton borbensis Secco & P.E.Berry
Q185864	2910394: holotype of Tachia lancisepala Struwe, Kinkade & Maas
Q185865	2910401: holotype of Picramnia ferrea Pirani & W.W.Thomas
Q185866	2910417: holotype of Hiraea silvae W.R.Anderson
Q185867	2910426: holotype of Croton perimetralensis Secco
Q185868	2910446: holotype of Cissus apendiculata Lombardi
Q185869	2910448: holotype of Heliconia luciae Barreiros
Q185870	2910453: holotype of Thrasya longiligulata M.Bastos & A.G.Burm.
Q185871	2910464: isotype of Tachigali candelabrum van der Werff
Q185872	2910505: isotype of Siparuna tupinambarum Jangoux
Q185873	2910508: holotype of Croton ascendens Secco & N.A.Rosa
Q185874	2910513: holotype of Catasetum aculeatum F.E.L.Miranda & K.G.Lacerda
Q185875	2910516: holotype of Caraipa longisepala Kubitzki
Q185876	2910542: holotype of Couepia joaquinae Prance
Q185877	2910570: isotype of Imeria memorabilis var. densesericea Pruski
Q185878	2910578: isotype of Philodendron cremersii Croat & Grayum
Q185879	2910600: isotype of Stylogyne incognita Pipoly
Q185880	2910603: holotype of Davilla lanosa Fraga & Stehmann
Q185881	2910610: holotype of Pera manausensis Bigio & Secco
Q185882	2910623: isotype of Riodocea pulcherrima Delprete
Q185883	2910647: holotype of Securidaca marajoara C.S.Costa, A.C.A.Aguiar & A.O.Simões
Q185884	2910717: holotype of Vanilla labellopapillata A.K.Koch, Fraga, J.U.Santos & Ilk.-Borg.
Q185885	2910739: isotype of Luetzelburgia guianensis D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima
Q185886	2910756: holotype of Croton campinarensis Secco, A.Rosário & P.E.Berry
Q185887	2910758: holotype of Philodendron joaosilvae Croat, A.Cardoso & Moonen
Q185888	2911765: isotype of Griffinia angustifolia Campos-Rocha, Dutilh & Semir
Q185889	29123d2a-88bd-4fe0-a35f-ca6d2cabe160: holotype of Medicosma forsteri T.G.Hartley
Q185890	291317801012fd59a9cbf63509b5d99c: lectotype of Heliotropium greggii Torr.
Q185891	2916074: isotype of Vellozia sessilis L.B.Sm. ex Mello-Silva
Q185892	29165a64-d057-48a9-9dc3-3546baea0913: holotype of Encyclia magdalenae Withner
Q185893	2917893a-9505-45cc-a380-1b3d1db8fbaa: isotype of Leucopogon wheelerae Hislop
Q185894	291cbcd0-cdf8-4639-974f-c94d6d791618: holotype of Chrysopsis arenicola Alexander ex Small
Q185895	291cf76c-29f1-44f9-aca0-d66459dbec77: isotype of Dendrobium acuiferum Ormerod
Q185896	291ed217-9c66-4280-98ef-3a93ea92e5bf: isotype of Endlicheria jefensis van der Werff ex Chanderb.
Q185897	292070f8-8def-4307-afe1-8978d41b5952: holotype of Julocroton doratophylloides Croizat
Q185898	292117df80fc2094647bec644f578b19: holotype of Bursera paradoxa Guevara & Rzed.
Q185899	29222aa2-d1d4-47e7-9b15-70a4d59556e9: isotype of Eragrostis ancashensis P.M.Peterson, Refulio & Tovar
Q185900	2922473f-048a-425d-b6b3-45b7e8dd1990: isotype of Zieria wilhelminae Duretto
Q185901	292298d5-8979-40e2-904c-adf6d5344618: isotype of Jacobinia weberbaueri Lindau
Q185902	2924834dcc20b2a733eb9182287aee6e: holotype of Graphardisia obtusata Lundell
Q185903	292CE5F1-72BD-46A5-99FB-F4523249B0EA: isotype of Coprosma obconica subsp. distantia de Lange & R.O.Gardner
Q185904	292DD221-EE27-4523-B955-000A41C81385: holotype of Pilosella lamprocantabrica Mateo & Egido
Q185905	292ba00e-fa8a-4f09-9898-09f945e3d228: holotype of Indigofera wannanii Peter G.Wilson
Q185906	2930286: holotype of Bulbophyllum ciluliae Bianch. & J.A.N.Bat.
Q185907	2930435: holotype of Cleistes batistana Pansarin & F.Barros
Q185908	2930559: isotype of Cyanaeorchis praetermissa J.A.N.Bat. & Bianch.
Q185909	2930659: holotype of Cyrtopodium brunneum J.A.N.Bat. & Bianch.
Q185910	2930784: holotype of Cyrtopodium kleinii J.A.N.Bat. & Bianch.
Q185911	2930785: holotype of Cyrtopodium lamellaticallosum J.A.N.Bat. & Bianch.
Q185912	2930797: holotype of Cyrtopodium linearifolium J.A.N.Bat. & Bianch.
Q185913	2930803: holotype of Cyrtopodium macedoi J.A.N.Bat. & Bianch.
Q185914	2931586: holotype of Habenaria omissa J.A.N.Bat. & Bianch.
Q185915	2931694: isotype of Habenaria canastrensis J.A.N.Bat. & B.M.Carvalho
Q185916	2931701: holotype of Habenaria cardiostigmatica J.A.N.Bat. & Bianch.
Q185917	2931721: isotype of Habenaria ciliatisepala J.A.N.Bat. & Bianch.
Q185918	2931789: isotype of Habenaria egleriana J.A.N.Bat. & Bianch.
Q185919	2931825: holotype of Habenaria guaraensis J.A.N.Bat. & Bianch.
Q185920	2932005: isotype of Habenaria kleinii Menini & J.A.N.Bat.
Q185921	2932152: holotype of Habenaria ludibundiciliata J.A.N.Bat. & Bianch.
Q185922	2932305: holotype of Habenaria pabstii J.A.N.Bat. & Bianch.
Q185923	2932363: holotype of Habenaria paulistana J.A.N.Bat. & Bianch.
Q185924	2932434: isotype of Habenaria pseudoculicina J.A.N.Bat. & B.M.Carvalho
Q185925	2932436: isotype of Habenaria pseudoglaucophylla J.A.N.Bat., R.C.Mota & N.Abreu
Q185926	2932440: holotype of Habenaria pubidactyla J.A.N.Bat. & Bianch.
Q185927	2932565: holotype of Habenaria spanophytica J.A.N.Bat. & Bianch.
Q185928	2932764: holotype of Nothostele brasiliaensis J.A.N.Bat., Meneguzzo & Bianch.
Q185929	2933058: isotype of Sacoila cerradicola Meneguzzo
Q185930	29340ceab9c6eedd55e7e6d10503686c: holotype of Verbesina miahuatlana B.L.Turner
Q185931	2934509f-1cf7-423c-9c01-c6247a01f7c9: holotype of Diodia hyssopifolia f. glabriuscula Steyerm.
Q185932	2934b923-02cb-48c6-9bfd-7299b25f1330: holotype of Eremogone loisiae N.H.Holmgren & P.K.Holmgren
Q185933	2939201: isotype of Vriesea sanfranciscana Versieux & Wand.
Q185934	29398eff-1e4a-4023-8c76-dff6ecd39559: isotype of Tetratheca spenceri R.Butcher & Cockerton
Q185935	29399e54-b0c1-4fff-a966-c678dc1da663: holotype of Cranichis pennellii Szlach. & Kolan.
Q185936	293c083e-cca0-45b5-b2a3-c9cbb4c88983: lectotype of Hymenoclea monogyra Torr. & A.Gray
Q185937	293cb002-2473-461c-a9a0-a46869c8a68c: holotype of Mikania hensoldiana Sánchez Vega & M.O.Dillon
Q185938	293fe0a1-1765-49ad-8cf3-ec6d933f7d57: isotype of Calothamnus quadrifidus subsp. seminudus A.S.George & N.Gibson
Q185939	2945453: isotype of Valeriana sobraliana Rabuske & Iganci
Q185940	2957978b-dd7f-42b2-bb5d-a31b366e55b6: isotype of Mimosa bombycina Barneby
Q185941	295c8af6-4bd4-4ecb-a885-30523cca96b9: holotype of Diuris brockmanii D.L.Jones & C.J.French
Q185942	29606917-bfa2-40cd-9b0c-1317be139684: holotype of Fernandezia mandonii Ormerod
Q185943	296290f0-7538-4665-b2d5-1816c147dc9b: holotype of Vernonia duncanii S.B.Jones
Q185944	29644fbe-dc19-41dc-b853-ee9ac0013476: holotype of Pileanthus aurantiacus Keighery
Q185945	2312692: isotype of Cayaponia ferruginea Gomes-Klein
Q185946	2312695: holotype of Leptotes harryphillipsii Christenson
Q185947	2312697: isotype of Solanum aparadense L.A.Mentz & M.Nee
Q185948	2312698: isotype of Solanum aparadense L.A.Mentz & M.Nee
Q185949	2312969: isotype of Grazielanthus arkeocarpus Peixoto & Per.-Moura
Q185950	2312972: isotype of Schefflera ruschiana Fiaschi & Pirani
Q185951	2312973: isotype of Hortia oreadica Groppo, Kallunki & Pirani
Q185952	2312991: isotype of Ouratea vieirae Sastre
Q185953	2312992: isotype of Dendropanax geniculatus Fiaschi
Q185954	2312993: isotype of Dendropanax bahiensis Fiaschi
Q185955	2312994: isotype of Dendropanax caudatus Fiaschi
Q185956	2312995: isotype of Dendropanax amorimii Fiaschi
Q185957	2312996: holotype of Piptadenia anolidurus Barneby
Q185958	2312997: holotype of Syngonanthus dichroanthus Hensold
Q185959	2313001: holotype of Syngonanthus gracilis f. prolifer Moldenke
Q185960	2313007: isotype of Solanum cordioides S.Knapp
Q185961	23135d6f-ad7a-4a08-a3e7-6cfbd8100f1d: isotype of Mimosa radula var. radulina Barneby
Q185962	2314354: holotype of Pouteria oxypetala T.D.Penn.
Q185963	2314485: isotype of Ficus duartei C.C.Berg & Carauta
Q185964	2314489: isotype of Crepidospermum atlanticum Daly
Q185965	2314522: holotype of Doliocarpus pruskii Aymard
Q185966	2314524: holotype of Davilla cuatrecasasii Aymard
Q185967	2314525: isotype of Davilla neei Aymard
Q185968	2314527: isotype of Huberia piranii Baumgratz
Q185969	2314541: isotype of Pitcairnia azouryi Martinelli & Forzza
Q185970	2314542: isotype of Pseudoxandra spiritus-sancti Maas
Q185971	2314543: isotype of Lepidaploa juruenensis H.Rob.
Q185972	2314549: isotype of Peritassa manaoara Lombardi
Q185973	2314754: isotype of Paepalanthus flexuosus Trovó
Q185974	2315474: isotype of Thryallis parviflora C.E.Anderson
Q185975	2316018: isotype of Mimosa claussenii var. prorsiseta Barneby
Q185976	2316032: isotype of Mimosa claussenii var. corneiseta Barneby
Q185977	2316037: isotype of Mimosa claussenii var. pumila Barneby
Q185978	2316055: isotype of Mimosa manidea Barneby
Q185979	2316115: isotype of Mimosa gemmulata var. cristallina Barneby
Q185980	2316135: isotype of Mimosa paucifolia var. scoparia Barneby
Q185981	2316269: isotype of Mimosa setosa var. urbica Barneby
Q185982	2316291: isotype of Unonopsis aurantiaca Maas & Westra
Q185983	2317126: isotype of Mimosa longistipula V.F.Dutra & F.C.P.Garcia
Q185984	2317352: isotype of Chamaecrista petiolata M.Cota & Rando
Q185985	2318530: isotype of Cryptocarya botelhensis P.L.R.Moraes
Q185986	2318532: isotype of Protium urophyllidium Daly
Q185987	2318533: isotype of Protium urophyllidium Daly
Q185988	2318534: isotype of Protium calendulinum Daly
Q185989	2318535: isotype of Sida castanocarpa Krapov.
Q185990	2318536: isotype of Dendropanax denticulatus Fiaschi
Q185991	2318538: isotype of Brasiliocroton mamoninha P.E.Berry & Cordeiro
Q185992	2318539: holotype of Serjania lancistipula Acev.-Rodr.
Q185993	2318543: isotype of Swartzia manausensis Torke
Q185994	2318544: isotype of Swartzia coriaceifolia Torke
Q185995	2318545: isotype of Swartzia juruana Torke
Q185996	2318546: isotype of Ilex mucugensis Groppo
Q185997	2318550: isotype of Senna bracteosa D.B.O.S.Cardoso & L.P.Queiroz
Q185998	2318551: isotype of Polygala marquesiana J.F.B.Pastore & T.B.Cavalc.
Q185999	2318659: isotype of Megalastrum albidum R.C.Moran, J.Prado & Labiak
Q186000	2318902: isotype of Schefflera capixaba Fiaschi
Q186001	2318903: isotype of Schefflera capixaba Fiaschi
Q186002	2319672: isotype of Mascagnia conformis W.R.Anderson
Q186003	2319673: holotype of Mascagnia conformis W.R.Anderson
Q186004	2319678: isotype of Bulbostylis carajana Kral & M.T.Strong
Q186005	2319683: holotype of Dracontium prancei G.H.Zhu & Croat
Q186006	2319691: holotype of Mascagnia riparia C.E.Anderson
Q186007	2319695: isotype of Cordia tarodae M.Stapf
Q186008	2319696: isotype of Cordia tarodae M.Stapf
Q186009	231b6256-02ee-44df-aeba-d0444a63b21b: isotype of Bossiaea barbarae J.H.Ross
Q186010	231d041f-5a5e-48cc-9915-f6ffaaca1f2d: isotype of Manihot veadeirensis M.J.Silva
Q186011	2320013: isotype of Manihot tripartita subsp. indivisa Allem
Q186012	2320014: isotype of Sterigmapetalum plumbeum Aymard & Cuello
Q186013	2320023: isotype of Davilla kubitzkii Aymard
Q186014	2320181: isotype of Merostachys scandens Send.
Q186015	2320184: isotype of Ceiba rubriflora Carv.-Sobr. & L.P.Queiroz
Q186016	2320185: isotype of Luetzelburgia neurocarpa D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima
Q186017	2320186: isotype of Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima
Q186018	2320187: isotype of Sauvagesia paniculata D.B.O.S.Cardoso & A.A.Conc.
Q186019	2320188: isotype of Faramea biflora J.G.Jardim & Zappi
Q186020	2320190: isotype of Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz
Q186021	2320191: isotype of Luetzelburgia harleyi D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima
Q186022	2320193: isotype of Solanum gertii S.Knapp
Q186023	2320194: isotype of Notopleura bahiensis C.M.Taylor
Q186024	2320195: isotype of Bulbostylis carajana Kral & M.T.Strong
Q186025	2320232: isotype of Croton campanulatus Caruzo & Cordeiro
Q186026	2320234: isotype of Chelonanthus pterocaulis Lepis
Q186027	2320237: isotype of Chomelia kirkbridei Delprete
Q186028	2320238: isotype of Ixora congestiflora Delprete
Q186029	2320239: isotype of Ixora araguaiensis Delprete
Q186030	2320240: isotype of Ixora irwinii Delprete
Q186031	2320247: isotype of Neoraputia calliantha Kallunki
Q186032	2320248: isotype of Neoraputia micrantha Kallunki
Q186033	2320249: isotype of Doliocarpus humboldtianus Aymard
Q186034	2320250: isotype of Doliocarpus kubitzkii Aymard
Q186035	2320320: isotype of Pouteria singularis T.D.Penn.
Q186036	2320361: holotype of Chionanthus parviflorus Cornejo, Lombardi & W.W.Thomas
Q186037	2320367: isotype of Colicodendron martianum Cornejo
Q186038	2320394: isotype of Hymenophyllum filmenofilicum Christenh. & Schwartsb.
Q186039	2320395: isotype of Schefflera dichotoma Fiaschi & Frodin
Q186040	2320396: isotype of Schefflera ciliatifolia Fiaschi & Frodin
Q186041	2320397: isotype of Schefflera umbrosa Frodin & Fiaschi
Q186042	2320403: holotype of Connarus tricarpus Kuntze
Q186043	2320406: isotype of Calycolpus andersonii Landrum
Q186044	23206935-ad25-4aef-96e9-16f761b5d0c3: isotype of Polygala difficilis R.A.Kerrigan
