fullname	ipni	authorship	taxonKey	taxonRank	rank
Rubus lucrosus W.Jansen	77218836-1	W.Jansen	11144731	species	Q16
Rubus magnidentatus F.W.Sander	77215693-1	F.W.Sander	11127755	species	Q16
Rubus maureri Király, Trávn. & Žíla	77202809-1	Király, Trávn. & Žíla	10702777	species	Q16
Rubus naumannii Schön	77162955-1	Schön	9602678	species	Q16
Rubus nelliae A.Beek	77074887-1	A.Beek	2990941	species	Q16
Rubus nigrobaccus var. calycosus Fernald	223326-2	Fernald	8851149	variety	Q18
Rubus obtrullatus T.Gregor & W.Jansen	77218837-1	T.Gregor & W.Jansen	11214249	species	Q16
Rubus onsalaensis Ryde	77117702-1	Ryde	7408215	species	Q16
Rubus ostumensis Ant.Molina	223385-2	Ant.Molina	2999947	species	Q16
Rubus pensilvanicus f. phyllophorus Fernald	223430-2	Fernald	2989062	form	Q19
Rubus polybracteatus Ryde	77117706-1	Ryde	7883779	species	Q16
Rubus pottianus H.E.Weber	77087249-1	H.E.Weber	3854294	species	Q16
Rubus pseudohostilis W.Jansen	77178455-1	W.Jansen	10493634	species	Q16
Rubus ruboculus Ryde	77311529-1	Ryde	12260818	species	Q16
Rubus rugulosus Ryde	77117704-1	Ryde	7379315	species	Q16
Rubus saxatilis var. canadensis Michx.	223542-2	Michx.	2997145	variety	Q18
Rubus scarbantinus Király & Trávn.	77254325-1	Király & Trávn.	11486087	species	Q16
Rubus sceleratus Brainerd ex Fernald	223545-2	Brainerd ex Fernald	2999982	species	Q16
Rubus schleicheriformis W.Jansen	77111191-1	W.Jansen	7389186	species	Q16
Rubus senticops H.E.Weber & W.Jansen	77218838-1	H.E.Weber & W.Jansen	11124892	species	Q16
Rubus silvae-thuringiae W.Jansen	77111192-1	W.Jansen	8328714	species	Q16
Rubus slavonicus Király, Trávn. & Žíla	77144948-1	Király, Trávn. & Žíla	8344274	species	Q16
Rubus soendrumensis Ryde	77117703-1	Ryde	7514454	species	Q16
Rubus tauni Schnedler & H.Grossh.	999635-1	Schnedler & H.Grossh.	2988827	species	Q16
Rubus vanwinkelii A.Beek & Vannerom	77078682-1	A.Beek & Vannerom	2988638	species	Q16
Rubus vikensis A.Pedersen ex G.Wendt	77090913-1	A.Pedersen ex G.Wendt	3854917	species	Q16
Rudbeckia bupleuroides Shuttlew. ex Chapm.	304349-2	Shuttlew. ex Chapm.	5705467	species	Q16
Rudbeckia californica var. intermedia Perdue	308186-2	Perdue	4255357	variety	Q18
Rudbeckia mohrii A.Gray	301706-2	A.Gray	3114232	species	Q16
Rudbeckia porteri A.Gray	223786-2	A.Gray	5395580	species	Q16
Rudgea axilliflora Bruniera & Torres-Leite	77157450-1	Bruniera & Torres-Leite	9417339	species	Q16
Rudgea billietiae O.Lachenaud	77304916-1	O.Lachenaud	11810980	species	Q16
Rudgea clerodendroides Zappi	77081371-1	Zappi	3848431	species	Q16
Rudgea crassifolia Zappi & E.Lucas	321869-2|20001203-1	Zappi & E.Lucas	2910657	species	Q16
Rudgea crassipetiolata Zappi	77081372-1	Zappi	3848400	species	Q16
Rudgea discolor Benth.	223871-2	Benth.	2910695	species	Q16
Rudgea erythrocarpa Müll.Arg.	298132-2	Müll.Arg.	2910792	species	Q16
Rudgea francavillana Müll.Arg.	223881-2	Müll.Arg.	2910601	species	Q16
Rudgea hemisphaerica Dwyer ex C.M.Taylor	304710-2	Dwyer ex C.M.Taylor	2910473	species	Q16
Rudgea huashikatii C.M.Taylor & Bruniera	77191285-1	C.M.Taylor & Bruniera	10848389	species	Q16
Rudgea insignis Müll.Arg.	223900-2	Müll.Arg.	2910519	species	Q16
Rudgea krukovii Standl.	223921-2	Standl.	2910592|7067441	species	Q16
Rudgea laevis C.M.Taylor	302065-2	C.M.Taylor	2910606	species	Q16
Rudgea mandevilliifolia Dwyer ex C.M.Taylor	300532-2	Dwyer ex C.M.Taylor	2910856	species	Q16
Rudgea mcphersonii Dwyer ex C.M.Taylor	300533-2	Dwyer ex C.M.Taylor	2910661	species	Q16
Rudgea minutifolia Bruniera & Torres-Leite	77192283-1	Bruniera & Torres-Leite	10579818	species	Q16
Rudgea nobilis Müll.Arg.	223961-2	Müll.Arg.	2910577	species	Q16
Rudgea parquioides subsp. hirsutissima Zappi	50425761-2|330803-2	Zappi	2910748	subspecies	Q17
Rudgea pendula Standl. ex Zappi	77081373-1	Standl. ex Zappi	3848042	species	Q16
Rudgea quisquiliae Bruniera & Torres-Leite	77157449-1	Bruniera & Torres-Leite	9252765	species	Q16
Rudgea raveniana W.C.Burger	300722-2	W.C.Burger	2910741	species	Q16
Rudgea reducticalyx Dwyer	300599-2	Dwyer	2910662	species	Q16
Rudgea reflexa Zappi	330793-2|50425754-2	Zappi	2910831	species	Q16
Rudgea reticulata Benth.	298494-2	Benth.	2910585	species	Q16
