fullname	ipni	authorship	taxonKey	taxonRank	rank
Boronia barrettiorum Duretto	77079926-1	Duretto	3831939	species	Q16
Boronia beeronensis Duretto	20012526-1	Duretto	3831929	species	Q16
Boronia boliviensis J.B.Williams & J.T.Hunter	77084040-1	J.B.Williams & J.T.Hunter	3831840	species	Q16
Boronia citriodora subsp. orientalis Duretto	20012510-1	Duretto	3831599	subspecies	Q17
Boronia citriodora subsp. paulwilsonii Duretto	20012509-1	Duretto	3831589	subspecies	Q17
Boronia clavata subsp. grandis Duretto	77197191-1	Duretto	10692001	subspecies	Q17
Boronia cremnophila R.L.Barrett, M.D.Barrett & Duretto	77153482-1	R.L.Barrett, M.D.Barrett & Duretto	8796907	species	Q16
Boronia deanei subsp. acutifolia Duretto	20012524-1	Duretto	3831173	subspecies	Q17
Boronia denticulata subsp. whoogarupensis Duretto	77197192-1	Duretto	10723599	subspecies	Q17
Boronia elisabethiae Duretto	20012513-1	Duretto	3838185	species	Q16
Boronia gravicocca Duretto	20012528-1	Duretto	3838000	species	Q16
Boronia grimshawii Duretto	20012525-1	Duretto	3837745	species	Q16
Boronia hapalophylla Duretto, F.J.Edwards & P.G.Edwards	77065814-1	Duretto, F.J.Edwards & P.G.Edwards	3837697	species	Q16
Boronia hemichiton Duretto	20012512-1	Duretto	3837690	species	Q16
Boronia imlayensis Duretto	20012508-1	Duretto	3837527	species	Q16
Boronia inflexa Duretto	20012464-1	Duretto	7269542	species	Q16
Boronia inflexa subsp. torringtonensis Duretto	20012470-1	Duretto	3837476	subspecies	Q17
Boronia interrex R.L.Barrett, M.D.Barrett & Duretto	77153483-1	R.L.Barrett, M.D.Barrett & Duretto	8986835	species	Q16
Boronia marcoana R.L.Barrett & M.D.Barrett	77153484-1	R.L.Barrett & M.D.Barrett	9215685	species	Q16
Boronia montimulliganensis Duretto	20012459-1	Duretto	3836823	species	Q16
Boronia occidentalis Duretto	20012462-1	Duretto	3836241	species	Q16
Boronia palasepala Duretto	1007193-1	Duretto	3836594	species	Q16
Boronia pilosa subsp. parvidaemonis Duretto	20012519-1	Duretto	3836430	subspecies	Q17
Boronia pilosa subsp. tasmanensis Duretto	20012514-1	Duretto	3836408	subspecies	Q17
Boronia pilosa subsp. torquata Duretto	20012515-1	Duretto	3836396	subspecies	Q17
Boronia rozefeldsii Duretto	20012522-1	Duretto	3835786	species	Q16
Boronia thedae R.L.Barrett, M.D.Barrett & Duretto	77153485-1	R.L.Barrett, M.D.Barrett & Duretto	9140753	species	Q16
Boronia warangensis Duretto	20012460-1	Duretto	3834880	species	Q16
Boronia yarrowmerensis Duretto	20012461-1	Duretto	3834806	species	Q16
Boronia zeteticorum Duretto	77096010-1	Duretto	3834798	species	Q16
Borreria amapaensis E.L.Cabral & Bacigalupo	77061507-1	E.L.Cabral & Bacigalupo	3845780	species	Q16
Borreria apodiensis E.L.Cabral, L.M.Miguel & E.B.Souza	77175861-1	E.L.Cabral, L.M.Miguel & E.B.Souza	10561087	species	Q16
Borreria capillaris Correll	273400-2|34893-2	Correll	2918876	species	Q16
Borreria carajasensis E.L.Cabral & L.M.Miguel	77126040-1	E.L.Cabral & L.M.Miguel	7809703	species	Q16
Borreria catolensis E.L.Cabral & L.M.Miguel	77129247-1	E.L.Cabral & L.M.Miguel	7976666	species	Q16
Borreria cerradoana E.L.Cabral, R.M.Salas & J.D.Soto	77129240-1	E.L.Cabral, R.M.Salas & J.D.Soto	8032610	species	Q16
Borreria confertifolia Steyerm.	34911-2	Steyerm.	2918640	species	Q16
Borreria dichasia Sucre & C.G.Costa	34920-2	Sucre & C.G.Costa	2902191	species	Q16
Borreria felis-insulae Correll	273404-2|34936-2	Correll	2918613	species	Q16
Borreria gracilis L.O.Williams	34943-2	L.O.Williams	7452240	species	Q16
Borreria heteranthera E.L.Cabral & Sobrado	77146985-1	E.L.Cabral & Sobrado	10819002	species	Q16
Borreria intricata Steyerm.	34957-2	Steyerm.	2918616	species	Q16
Borreria johnwoodii E.L.Cabral & R.M.Salas	77116538-1	E.L.Cabral & R.M.Salas	7363919	species	Q16
Borreria krapocarmeniana E.L.Cabral & L.M.Miguel	77136108-1	E.L.Cabral & L.M.Miguel	8357093	species	Q16
Borreria laevis var. edentata Steyerm.	34959-2	Steyerm.	2918330	variety	Q18
Borreria multibracteata E.L.Cabral & Bacigalupo	77061508-1	E.L.Cabral & Bacigalupo	3849460	species	Q16
Borreria noronhensis Sucre	34990-2	Sucre	2918073	species	Q16
Borreria oligodonta Steyerm.	34995-2	Steyerm.	2918632	species	Q16
Borreria orientalis E.L.Cabral, R.M.Salas & L.M.Miguel	77125778-1	E.L.Cabral, R.M.Salas & L.M.Miguel	7526491	species	Q16
Borreria paranaensis E.L.Cabral & Bacigalupo	320110-2	E.L.Cabral & Bacigalupo	3849398	species	Q16
Borreria pazensis E.L.Cabral & Bacigalupo	60439257-2	E.L.Cabral & Bacigalupo	3849383	species	Q16
Borreria reflexa J.H.Kirkbr.	35018-2	J.H.Kirkbr.	2918719	species	Q16
Borreria santacruciana Bacigalupo & E.L.Cabral	60441550-2	Bacigalupo & E.L.Cabral	3849286	species	Q16
Borreria semiamplexicaulis E.L.Cabral	306355-2	E.L.Cabral	2918365	species	Q16
Borreria siberiana E.L.Cabral & R.M.Salas	77116539-1	E.L.Cabral & R.M.Salas	7519653	species	Q16
Borreria terminalis Small	310556-2|35058-2	Small	2918201	species	Q16
Borreria velascoana E.L.Cabral, R.M.Salas & J.D.Soto	77129242-1	E.L.Cabral, R.M.Salas & J.D.Soto	8827111	species	Q16
Borreria wunschmannii K.Schum.	35081-2	K.Schum.	2918218	species	Q16
Borya stenophylla M.D.Barrett	77185936-1	M.D.Barrett	10769794	species	Q16
Bossiaea alpina I.Thomps.	77121344-1	I.Thomps.	10859904	species	Q16
Bossiaea arcuata J.H.Ross	77073687-1	J.H.Ross	3973628	species	Q16
Bossiaea arenitensis R.L.Barrett	77153349-1	R.L.Barrett	10678389	species	Q16
Bossiaea atrata J.H.Ross	77073692-1	J.H.Ross	3973619	species	Q16
Bossiaea aurantiaca J.H.Ross	77073693-1	J.H.Ross	3973615	species	Q16
Bossiaea barbarae J.H.Ross	77073689-1	J.H.Ross	3973610	species	Q16
Bossiaea barrettiorum J.H.Ross	77073695-1	J.H.Ross	3973607	species	Q16
Bossiaea bombayensis K.L.McDougall	77102387-1	K.L.McDougall	8404139	species	Q16
Bossiaea calcicola J.H.Ross	77073690-1	J.H.Ross	3973590	species	Q16
Bossiaea celata J.H.Ross	77073699-1	J.H.Ross	3973579	species	Q16
Bossiaea eremaea J.H.Ross	77073694-1	J.H.Ross	3973522	species	Q16
Bossiaea flexuosa J.H.Ross	77073697-1	J.H.Ross	3973516	species	Q16
Bossiaea fragrans K.L.McDougall	77102389-1	K.L.McDougall	8176084	species	Q16
Bossiaea grayi K.L.McDougall	77102388-1	K.L.McDougall	7856497	species	Q16
Bossiaea inundata J.H.Ross	77073691-1	J.H.Ross	3973488	species	Q16
Bossiaea laxa J.H.Ross	77073686-1	J.H.Ross	3973464	species	Q16
Bossiaea milesiae K.L.McDougall	77102390-1	K.L.McDougall	7863123	species	Q16
Bossiaea moylei Keighery	77186977-1	Keighery	10697948	species	Q16
Bossiaea obovata I.Thomps.	77121347-1	I.Thomps.	10723492	species	Q16
Bossiaea peninsularis I.Thomps.	77121350-1	I.Thomps.	10744374	species	Q16
Bossiaea reptans T.D.Macfarl. & J.H.Ross	77215922-1	T.D.Macfarl. & J.H.Ross	2968290	species	Q16
Bossiaea saxosa J.H.Ross	77073696-1	J.H.Ross	3973362	species	Q16
Bossiaea sericea I.Thomps.	77121343-1	I.Thomps.	10690958	species	Q16
Bossiaea simulata J.H.Ross	77073698-1	J.H.Ross	3973352	species	Q16
Bossiaea smithiorum J.H.Ross	77073688-1	J.H.Ross	3973350	species	Q16
Bossiaea zarae R.L.Barrett	77153350-1	R.L.Barrett	10748168	species	Q16
Boswellia bullata Thulin	20003266-1	Thulin	5636157	species	Q16
Boswellia dioscoridis Thulin	20003267-1	Thulin	5636148	species	Q16
Boswellia globosa Thulin	77076724-1	Thulin	5636140	species	Q16
Bothriochloa catharinensis Dalmolim & A.Zanin	77143587-1	Dalmolim & A.Zanin	8280160	species	Q16
Bothriochloa eurylemma M.Marchi & Longhi-Wagner	301443-2	M.Marchi & Longhi-Wagner	4137117	species	Q16
Bothriochloa meridionalis M.Marchi & Longhi-Wagner	303119-2	M.Marchi & Longhi-Wagner	4136675	species	Q16
Bothriochloa saccharoides subsp. americana Scrivanti	77128382-1	Scrivanti	9446437	subspecies	Q17
Bothriochloa saccharoides subsp. australis Scrivanti	77128384-1	Scrivanti	9512369	subspecies	Q17
Botryarrhena venezuelensis Steyerm.	35223-2	Steyerm.	2900942	species	Q16
Botrychium alaskense W.H.Wagner & J.R.Grant	324229-2|20007412-1	W.H.Wagner & J.R.Grant	7321448	species	Q16
Botrychium ascendens W.H.Wagner	273431-2	W.H.Wagner	2650158	species	Q16
Botrychium campestre W.H.Wagner & Farrar	273432-2	W.H.Wagner & Farrar	2650190	species	Q16
Botrychium crenulatum W.H.Wagner	35238-2	W.H.Wagner	2650161	species	Q16
Botrychium echo W.H.Wagner	35257-2	W.H.Wagner	2650212	species	Q16
Botrychium furculatum S.J.Popovich & Farrar	77215033-1	S.J.Popovich & Farrar	11148677	species	Q16
Botrychium montanum W.H.Wagner	35292-2	W.H.Wagner	2650213	species	Q16
Botrychium mormo W.H.Wagner	35293-2	W.H.Wagner	2650197	species	Q16
Botrychium paradoxum W.H.Wagner	35334-2	W.H.Wagner	2650168	species	Q16
Botrychium pedunculosum W.H.Wagner	273435-2	W.H.Wagner	2650215	species	Q16
Botrychium pseudopinnatum W.H.Wagner	273436-2	W.H.Wagner	2650216	species	Q16
Botrychium pumicola Coville ex Underw.	35336-2	Coville ex Underw.	2650205	species	Q16
Botrychium tolucaense W.H.Wagner & Mickel	77095235-1	W.H.Wagner & Mickel	3659075	species	Q16
Botrychium tunux Stensvold & Farrar	324210-2|20007407-1	Stensvold & Farrar	3659511	species	Q16
Botrychium yaaxudakeit Stensvold & Farrar	20007408-1|324211-2	Stensvold & Farrar	3659355	species	Q16
Bourreria aquilana G.Campos, Gottschling & J.S.Mill.	77187474-1	G.Campos, Gottschling & J.S.Mill.	10043188	species	Q16
Bourreria grandicalyx J.S.Mill. & Sirot	314578-2	J.S.Mill. & Sirot	4063171	species	Q16
Bourreria grayumii Gottschling & J.S.Mill.	60440324-2	Gottschling & J.S.Mill.	4063146	species	Q16
Bourreria motaguensis Véliz, G.Campos & J.S.Mill.	60453519-2	Véliz, G.Campos & J.S.Mill.	7541312	species	Q16
Bourreria rinconensis J.S.Mill.	318018-2	J.S.Mill.	4062683	species	Q16
Bourreria scabra Thulin & Razafim.	60475573-2	Thulin & Razafim.	9805043	species	Q16
Bourreria setosohispida O.E.Schulz	35527-2	O.E.Schulz	4062623	species	Q16
Bouteloua herrera-arrietae P.M.Peterson & Romasch.	77166450-1	P.M.Peterson & Romasch.	8968557	species	Q16
Bouteloua pectinata Feath.	35626-2	Feath.	5677028	species	Q16
Bouteloua rothrockii Vasey	35643-2	Vasey	5289856	species	Q16
Bouvardia costaricensis C.M.Taylor	77112237-1	C.M.Taylor	7688478	species	Q16
Bouvardia hintoniorum B.L.Turner	1084040-2	B.L.Turner	2910215	species	Q16
Bouvardia macdougallii Lorence	305849-2	Lorence	2910286	species	Q16
Bouvardia rzedowskii Terrell & S.D.Koch	303276-2	Terrell & S.D.Koch	2910278	species	Q16
Bouvardia sancaroli Borhidi & M.Martínez	77092337-1	Borhidi & M.Martínez	3848858	species	Q16
Bouvardia viticella Lorea-Hern. & Lozada-Pérez	60442710-2	Lorea-Hern. & Lozada-Pérez	3848814	species	Q16
Boykinia occidentalis Torr. & A.Gray	35794-2	Torr. & A.Gray	3032619	species	Q16
Brachiaria meziana Hitchc.	309550-2	Hitchc.	4132812	species	Q16
Brachionidium alpestre Luer & R.Vásquez	302372-2	Luer & R.Vásquez	2816634	species	Q16
Brachionidium andreettae Luer & Hirtz	303808-2	Luer & Hirtz	2816558	species	Q16
Brachionidium arethusa Luer	300778-2	Luer	2816640	species	Q16
Brachionidium ballatrix Luer & Hirtz	305469-2	Luer & Hirtz	2816627	species	Q16
Brachionidium calypso Luer	305470-2	Luer	2816613	species	Q16
Brachionidium capillare Luer & Hirtz	302739-2	Luer & Hirtz	2816619	species	Q16
Brachionidium cornu-nigricum Bogarín & Karremans	77160048-1	Bogarín & Karremans	10756047	species	Q16
Brachionidium dentatum Luer & Dressler	301910-2	Luer & Dressler	2816596	species	Q16
Brachionidium diaphanum Luer & R.Vásquez	35828-2	Luer & R.Vásquez	2816607	species	Q16
Brachionidium dressleri Luer	303582-2	Luer	2816557	species	Q16
Brachionidium elzbietae Kolan., Rykacz., Medina Tr. & Szlach.	77179011-1	Kolan., Rykacz., Medina Tr. & Szlach.	10759362	species	Q16
Brachionidium ephemerum Luer & Hirtz	301147-2	Luer & Hirtz	2816614	species	Q16
Brachionidium filamentosum Luer & Hirtz	301572-2	Luer & Hirtz	2816556	species	Q16
Brachionidium fornicatum Luer & Hirtz	305929-2	Luer & Hirtz	2816605	species	Q16
Brachionidium galeatum Luer & Hirtz	300567-2	Luer & Hirtz	2816576	species	Q16
Brachionidium haberi Luer	300566-2	Luer	2816584	species	Q16
Brachionidium ingramii Luer & Dalström	313434-2	Luer & Dalström	2816615	species	Q16
Brachionidium jesupiae Luer	304066-2	Luer	2816624	species	Q16
Brachionidium kirbyi Bogarín, Karremans & M.Muñoz	77150343-1	Bogarín, Karremans & M.Muñoz	9630540	species	Q16
Brachionidium lehmannii Luer	301865-2	Luer	2816565	species	Q16
Brachionidium loxense Luer	302976-2	Luer	2816601	species	Q16
Brachionidium lucanoideum Luer	304270-2	Luer	2816611	species	Q16
Brachionidium minusculum Luer & Dressler	305612-2	Luer & Dressler	2816603	species	Q16
Brachionidium muscosum Luer & R.Vásquez	35834-2	Luer & R.Vásquez	2816625	species	Q16
Brachionidium operosum Luer & Hirtz	305066-2	Luer & Hirtz	2816629	species	Q16
Brachionidium peltarion Luer	306635-2	Luer	2816585	species	Q16
Brachionidium piuntzae Luer	300946-2	Luer	2816618	species	Q16
Brachionidium polypodium Luer	300947-2	Luer	2816604	species	Q16
Brachionidium portillae Luer	60437262-2|930778-1	Luer	2816569	species	Q16
Brachionidium puipuiensis L.Valenz.	77167196-1	L.Valenz.	10867843	species	Q16
Brachionidium satyreum Luer	301782-2	Luer	2816586	species	Q16
Brachionidium stellare Luer & Hirtz	302116-2	Luer & Hirtz	2816610	species	Q16
Brachionidium sulcatum I.Jiménez	77154823-1	I.Jiménez	9257730	species	Q16
Brachionidium syme-morrisii Luer	306344-2	Luer	2816638	species	Q16
Brachionidium uxorium Luer & R.Vásquez	304929-2	Luer & R.Vásquez	2816599	species	Q16
Brachionidium vasquezii Luer	35847-2	Luer	2816577	species	Q16
Brachionidium zunagense Luer & Hirtz	300481-2	Luer & Hirtz	2816571	species	Q16
Brachistus knappiae Mont.-Castro & Sousa-Peña	77094267-1	Mont.-Castro & Sousa-Peña	3800951	species	Q16
Brachyachne anisocarpa Albr.	77310666-1	Albr.	12319594	species	Q16
Brachychiton chrysocarpus Cowie & Guymer	77148356-1	Cowie & Guymer	8078228	species	Q16
Brachychiton guymeri J.A.Bever., Fensham & P.I.Forst.	77202065-1	J.A.Bever., Fensham & P.I.Forst.	3152191	species	Q16
Brachyloma delbi Cranfield	77075850-1	Cranfield	8116048	species	Q16
Brachyloma djerral Cranfield & Hislop	77175900-1	Cranfield & Hislop	9739059	species	Q16
Brachyloma elusum Hislop & Cranfield	77175901-1	Hislop & Cranfield	9744221	species	Q16
Brachyloma mogin Cranfield	77075853-1	Cranfield	8339603	species	Q16
Brachyloma moritzianum C.D.Bouché & Hanst.	300257-2	C.D.Bouché & Hanst.	5590450	species	Q16
Brachyloma pirara Cranfield & Hislop	77175902-1	Cranfield & Hislop	9705343	species	Q16
Brachyloma rhodomallon Hanst.	301660-2	Hanst.	5590414	species	Q16
Brachyloma stenolobum Hislop & Cranfield	77145378-1	Hislop & Cranfield	8364806	species	Q16
Brachynema axillare Duno & P.E.Berry	306114-2	Duno & P.E.Berry	6030816	species	Q16
Brachyotum azuayense Wurdack	35918-2	Wurdack	3862706	species	Q16
Brachyotum harlingii Wurdack	35932-2	Wurdack	3862436	species	Q16
Brachyotum incrassatum E.Cotton	1015071-1|320157-2	E.Cotton	3862398	species	Q16
Brachyotum johannes-julii E.Cotton	320159-2|1015073-1	E.Cotton	3862359	species	Q16
Brachyotum russatum E.Cotton	320158-2|1015072-1	E.Cotton	3862025	species	Q16
Brachyotum sertulatum C.Ulloa	77083890-1	C.Ulloa	3861994	species	Q16
Brachyotum uribei Wurdack	35956-2	Wurdack	3861914	species	Q16
Brachyscome billabongensis P.S.Short	77146050-1	P.S.Short	9425014	species	Q16
Brachyscome brownii P.S.Short	77096358-1	P.S.Short	4231087	species	Q16
Brachyscome casstiana P.S.Short	77146046-1	P.S.Short	9359050	species	Q16
Brachyscome dalbyensis P.S.Short	77146048-1	P.S.Short	9494593	species	Q16
Brachyscome foliosa P.S.Short	77146077-1	P.S.Short	9584768	species	Q16
Brachyscome gilesii P.S.Short	77146051-1	P.S.Short	9352517	species	Q16
Brachyscome gracilis subsp. robusta P.S.Short	77146047-1	P.S.Short	9538364	subspecies	Q17
Brachyscome kaputarensis P.S.Short	77096359-1	P.S.Short	4230558	species	Q16
Brachyscome melanocarpa subsp. thompsonensis P.S.Short	77146055-1	P.S.Short	9446758	subspecies	Q17
Brachyscome mittagongensis P.S.Short	77096360-1	P.S.Short	4230401	species	Q16
Brachyscome procumbens subsp. wombelongensis P.S.Short	77096361-1	P.S.Short	4230137	subspecies	Q17
Brachyscome rudallensis P.S.Short	77146081-1	P.S.Short	9329355	species	Q16
Brachyscome salkiniae P.S.Short	77096362-1	P.S.Short	4230047	species	Q16
Brachyscome simulans P.S.Short	77146052-1	P.S.Short	9483808	species	Q16
Brachyscome tamworthensis P.S.Short	77146059-1	P.S.Short	9431596	species	Q16
Brachyscome tasmanica P.S.Short	77146079-1	P.S.Short	9569261	species	Q16
Brachyscome trisecta P.S.Short	77146073-1	P.S.Short	9522917	species	Q16
Brachyscome willisii P.S.Short	77096363-1	P.S.Short	4229791	species	Q16
Brachystele bicrinita Szlach.	314018-2	Szlach.	2841034	species	Q16
Brachystele hatschbachii Pabst	35991-2	Pabst	2783587	species	Q16
Brachystele scabrilingua Szlach.	303205-2	Szlach.	2840999	species	Q16
Brachystele waldemarii Szlach.	314019-2	Szlach.	2840971	species	Q16
Brachystelma arachnoideum Masinde	77079548-1	Masinde	3581023	species	Q16
Brachystelma floribundum var. mlimakito Masinde	77079547-1	Masinde	3580459	variety	Q18
Brachystelma mahajanii Kambale & S.R.Yadav	77136116-1	Kambale & S.R.Yadav	9435713	species	Q16
Brachystelma pruinosum Bruyns	77100307-1	Bruyns	8018672	species	Q16
Brachystephanus africanus var. longibracteatus Champl.	77103395-1	Champl.	7613427	variety	Q18
Brachystephanus africanus var. recurvatus Champl.	77103396-1	Champl.	7502961	variety	Q18
Brachystephanus calostachyus Champl.	77103384-1	Champl.	7851331	species	Q16
Brachystephanus coeruleus subsp. apiculatus Champl.	77103383-1	Champl.	8372602	subspecies	Q17
Brachystephanus congensis subsp. latipaniculatus Champl.	77103386-1	Champl.	7840600	subspecies	Q17
Brachystephanus kupeensis Champl.	77103387-1	Champl.	5792305	species	Q16
Brachystephanus roseus Champl.	77103400-1	Champl.	7805587	species	Q16
Bracteanthus atlanticus Jangoux	301886-2	Jangoux	3782901	species	Q16
Bradburya lobata Britton & P.Wilson	302155-2	Britton & P.Wilson	2965019	species	Q16
Bradea borrerioides J.A.Oliveira & Sobrado	77151878-1	J.A.Oliveira & Sobrado	8727945	species	Q16
Bragaia estevesii Hofacker & P.J.Braun	77103154-1	Hofacker & P.J.Braun	7710854	species	Q16
Brasilianthus carajensis Almeda & Michelang.	77157739-1	Almeda & Michelang.	9189423	species	Q16
Brasilidium tapiraiense Campacci	77096151-1	Campacci	3652121	species	Q16
Brasiliocroton mamoninha P.E.Berry & Cordeiro	60438503-2	P.E.Berry & Cordeiro	3072689	species	Q16
Brasiliopuntia subacarpa Rizzini & A.Mattos	305765-2	Rizzini & A.Mattos	3947219	species	Q16
Brassaiopsis ficifolioides J.Wen & Lowry	77075412-1	J.Wen & Lowry	3036305	species	Q16
Brassaiopsis gigantea J.Wen & Lowry	77075413-1	J.Wen & Lowry	3036254	species	Q16
Brassaiopsis glomerulata var. longipedicellata H.L.Li	60473528-2	H.L.Li	3036210	variety	Q18
Brassavola tuberculata f. trilabellata A.S.Medeiros & Xim.Bols.	77133142-1	A.S.Medeiros & Xim.Bols.	9572465	form	Q19
Brassia escobariana Garay	36171-2	Garay	5321834	species	Q16
Brassia longissima var. minor Schltr.	302902-2	Schltr.	5323841	variety	Q18
Brassia suavissima Pupulin & Bogarín	77066155-1	Pupulin & Bogarín	5323823	species	Q16
Brassiantha hedraiantheroides A.J.Ford	77117817-1	A.J.Ford	8385584	species	Q16
Braya sichuanica Al-Shehbaz	60468196-2	Al-Shehbaz	8761945	species	Q16
Brayopsis alpaminae subsp. smithii Al-Shehbaz	273461-2	Al-Shehbaz	3050470	subspecies	Q17
Brayopsis chacasensis Al-Shehbaz & A.Cano	77128333-1	Al-Shehbaz & A.Cano	9132273	species	Q16
Brayopsis colombiana Al-Shehbaz	273462-2	Al-Shehbaz	3050476	species	Q16
Brayopsis colombiana subsp. ecuadoriana Al-Shehbaz	273463-2	Al-Shehbaz	3050478	subspecies	Q17
Brayopsis cuscoensis Al-Shehbaz, P.Gonzáles, A.Cano & Trinidad	60477674-2	Al-Shehbaz, P.Gonzáles, A.Cano & Trinidad	10836024	species	Q16
Brayopsis gamosepala Al-Shehbaz	273464-2	Al-Shehbaz	3050479	species	Q16
Brayopsis limensis Al-Shehbaz, Trinidad, A.Cano & P.Gonzáles	60477673-2	Al-Shehbaz, Trinidad, A.Cano & P.Gonzáles	10679443	species	Q16
Brazoria enquistii M.W.Turner	329947-2	M.W.Turner	3904999	species	Q16
Bredemeyera autranii f. obovata Marques	36302-2	Marques	4050301	form	Q19
Bredemeyera ericifolia M.Mota & J.F.B.Pastore	77328537-1	M.Mota & J.F.B.Pastore	10705193	species	Q16
Bredia dulanica C.L.Yeh, S.W.Chung & T.C.Hsu	77093643-1	C.L.Yeh, S.W.Chung & T.C.Hsu	3861756	species	Q16
Brenesia costaricensis Schltr.	273467-2	Schltr.	5323714	species	Q16
Breonia sambiranensis Razafim.	20005580-1	Razafim.	2911260	species	Q16
Brevilongium allenianum Szlach. & Kolan.	77144579-1	Szlach. & Kolan.	11004701	species	Q16
Brevilongium callejasii Szlach., Kolan. & Skorowska	77177956-1	Szlach., Kolan. & Skorowska	11001948	species	Q16
Brewcaria marahuacae L.B.Sm., Steyerm. & H.Rob.	273468-2	L.B.Sm., Steyerm. & H.Rob.	2696385	species	Q16
Brexia australis G.E.Schatz & Lowry	60436055-2	G.E.Schatz & Lowry	3932894	species	Q16
Brexia marioniae G.E.Schatz & Lowry	60436056-2	G.E.Schatz & Lowry	3932766	species	Q16
Breynia repens Welzen & Pruesapan	77110089-1	Welzen & Pruesapan	7960614	species	Q16
Brickellia aramberrana B.L.Turner	303445-2	B.L.Turner	5388351	species	Q16
Brickellia betonicifolia var. humilis B.L.Rob.	77083817-1	B.L.Rob.	5698539	variety	Q18
Brickellia brachiata A.Gray	273469-2	A.Gray	5388334	species	Q16
Brickellia brachiata var. adenopoda B.L.Rob.	273470-2	B.L.Rob.	5698527	variety	Q18
Brickellia brachyphylla var. terlinguensis Flyr	36378-2	Flyr	5698519	variety	Q18
Brickellia fendleri A.Gray	311196-2	A.Gray	5403735	species	Q16
Brickellia gentryi B.L.Turner	306522-2	B.L.Turner	5388272	species	Q16
Brickellia hintoniorum B.L.Turner	273472-2	B.L.Turner	5388382	species	Q16
Brickellia jimenezii Hinojosa & Cruz Durán	77106752-1	Hinojosa & Cruz Durán	9307100	species	Q16
Brickellia lewisii B.L.Turner	273481-2	B.L.Turner	5388419	species	Q16
Brickellia michiliensis G.L.Nesom	77313952-1	G.L.Nesom	11539430	species	Q16
Brickellia stolonifera B.L.Turner	36526-2	B.L.Turner	5388314	species	Q16
Brickellia viejensis Flyr	36540-2	Flyr	5697935	species	Q16
Brickellia worthingtonii B.L.Turner	273491-2	B.L.Turner	5388332	species	Q16
Brickelliastrum villarrealii R.M.King & H.Rob.	300680-2	R.M.King & H.Rob.	3144049	species	Q16
Brillantaisia richardsiae Vollesen	77092216-1	Vollesen	3778231	species	Q16
Briquetia inermis Fryxell	36554-2	Fryxell	3938738	species	Q16
Briquetia sonorae Fryxell	36555-2	Fryxell	3938728	species	Q16
Briza ambigua Hack.	36622-2	Hack.	4105314	species	Q16
Briza brachychaete Ekman	36623-2	Ekman	4146082	species	Q16
Briza juergensii Hack.	36636-2	Hack.	4105253	species	Q16
Brocchinia amazonica L.B.Sm.	273497-2	L.B.Sm.	5287594	species	Q16
Brocchinia wurdackiana B.Holst	314038-2	B.Holst	5287593	species	Q16
Brodiaea santarosae T.J.Chester, W.P.Armstr. & Madore	60446781-2	T.J.Chester, W.P.Armstr. & Madore	2767691	species	Q16
Brodiaea sierrae R.E.Preston	60443094-2	R.E.Preston	2767715	species	Q16
Brodriguesia santosii R.S.Cowan	36826-2	R.S.Cowan	2968205	species	Q16
Bromelia arubaiensis Ibisch & R.Vásquez	70029330-1	Ibisch & R.Vásquez	5287915	species	Q16
Bromelia estevesii Leme	328362-2	Leme	5287966	species	Q16
Bromelia ignaciana R.Vásquez & Ibisch	70029331-1	R.Vásquez & Ibisch	5287942	species	Q16
Bromelia reversacantha Mez	36886-2	Mez	5287973	species	Q16
Bromelia unaensis Leme & Scharf	77113069-1	Leme & Scharf	7445651	species	Q16
Bromopsis gabrielianae Ogan.	77067373-1	Ogan.	4113563	species	Q16
Bromopsis malyschevii N.V.Vlassova	77163139-1	N.V.Vlassova	10887823	species	Q16
Bromopsis zangezura Ogan.	77087378-1	Ogan.	4111722	species	Q16
Bromus ayacuchensis Saarela & P.M.Peterson	60445840-2	Saarela & P.M.Peterson	4117868	species	Q16
Bromus bolivianus Renvoize	316482-2	Renvoize	4129289	species	Q16
Bromus exaltatus Bernh.	309758-2	Bernh.	4109987	species	Q16
Bromus flexuosus Planchuelo	37040-2	Planchuelo	4106080	species	Q16
Bromus flexuosus var. famatinensis Planchuelo	60457458-2	Planchuelo	7606023	variety	Q18
Bromus japonicus Houtt.	60459493-2	Houtt.	8113508	species	Q16
Bromus nervosus var. glabrescens F.M.Vázquez	77092321-1	F.M.Vázquez	4123667	variety	Q18
Bromus salangensis Naderi	77143379-1	Naderi	9514255	species	Q16
Bromus striatus Hitchc.	273510-2	Hitchc.	4150849	species	Q16
Bromus unioloides Kunth	315500-2	Kunth	2703730	species	Q16
Brongniartia balsensis J.Jiménez Ram. & K.Vega	77105244-1	J.Jiménez Ram. & K.Vega	7584124	species	Q16
Brongniartia herbacea R.Grether & Rzed.	60476908-2	R.Grether & Rzed.	10771276	species	Q16
Brongniartia yahualica Dorado & D.M.Arias	77155350-1	Dorado & D.M.Arias	10860121	species	Q16
Bronwenia peckoltii W.R.Anderson & C.Davis	60447694-2	W.R.Anderson & C.Davis	3984171	species	Q16
Brosimopsis oblongifolia Ducke	37252-2	Ducke	3763562	species	Q16
Brosimum gaudichaudii Trécul	37275-2	Trécul	7262433	species	Q16
Brosimum glaziovii Taub.	37283-2	Taub.	3763179	species	Q16
Brosimum lanciferum Ducke	37288-2	Ducke	3763114	species	Q16
